Sample,gen,food,sex,id,ril.id,cross,mass,vol,astax,astax.mg,bcarot,bcarot.mg,hydroxy,hydroxy.mg,total.dietary,asta.to.dietary,asta.to.hydroxy,n,astax.cop,mito.type,group,round
114,Hybrid,Algae,M,PESAB20,PESAB20,PESxAB,0.124,0.06,0.65416,0.316529032,0.09545,0.046185484,0.10445,0.050540323,0.096725807,3.272436197,6.262900852,9,0.004361067,PES,6,1
115,Hybrid,Algae,F,PESAB20,PESAB20,PESxAB,0.234,0.06,1.32814,0.340548718,0.02722,0.006979487,0.15092,0.038697436,0.045676923,7.455596735,8.800291523,15,0.00531256,PES,6,1
116,Hybrid,Algae,F,PESAB20,PESAB20,PESxAB,0.239,0.06,1.31189,0.32934477,0.02284,0.005733891,0.11673,0.029304603,0.035038494,9.399512719,11.23867025,15,0.00524756,PES,6,1
117,Hybrid,Algae,F,PESAB20,PESAB20,PESxAB,0.191,0.06,0.92754,0.291373822,0.01695,0.005324607,0.08878,0.027889005,0.033213612,8.772723123,10.44762343,13,0.004280954,PES,6,1
118,Hybrid,Algae,M,BRSD56,BRSD56,BRxSD,0.096,0.06,0.05721,0.03575625,0.0157,0.0098125,0.05334,0.0333375,0.04315,0.828650058,1.072553431,10,0.00034326,BR,5,1
119,Hybrid,Algae,F,BRSD56,BRSD56,BRxSD,0.182,0.06,0.38976,0.128492308,0.05277,0.017396703,0.15293,0.050416484,0.067813187,1.894798249,2.548616996,15,0.00155904,BR,5,1
120,Hybrid,Algae,F,BRSD56,BRSD56,BRxSD,0.168,0.06,0.16358,0.058421429,0.02369,0.008460714,0.04935,0.017625,0.026085714,2.239594784,3.314691007,15,0.00065432,BR,5,1
121,Hybrid,Algae,F,BRSD56,BRSD56,BRxSD,0.17,0.06,0.18915,0.066758824,0.05548,0.019581176,0.05772,0.020371765,0.039952941,1.670936415,3.277027003,15,0.0007566,BR,5,1
122,Hybrid,Algae,M,BUFSD24,BUFSD24,BUFxSD,0.147,0.06,0.65458,0.26717551,0.19728,0.080522449,0.21228,0.086644898,0.167167347,1.598251781,3.083568867,15,0.00261832,BUF,2,1
123,Hybrid,Algae,M,BUFSD24,BUFSD24,BUFxSD,0.132,0.06,0.57608,0.261854545,0.15858,0.072081818,0.18312,0.083236364,0.155318182,1.68592332,3.145915228,13,0.002658831,BUF,2,1
124,Hybrid,Algae,M,BUFSD24,BUFSD24,BUFxSD,0.111,0.06,0.41229,0.222859459,0.127,0.068648649,0.11814,0.063859459,0.132508108,1.681855264,3.489842578,11,0.002248855,BUF,2,1
125,Hybrid,Algae,F,BUFSD24,BUFSD24,BUFxSD,0.195,0.06,0.93387,0.287344615,0.09078,0.027932308,0.25419,0.078212308,0.106144616,2.707104946,3.673905327,15,0.00373548,BUF,2,1
126,Hybrid,Algae,F,BUFSD24,BUFSD24,BUFxSD,0.182,0.06,0.69322,0.228534066,0.08173,0.026943956,0.19108,0.062993407,0.089937363,2.541035876,3.62790452,15,0.00277288,BUF,2,1
127,Hybrid,Algae,M,BRSD45,BRSD45,BRxSD,0.115,0.06,0.37753,0.196972174,0.01592,0.008306087,0.06129,0.031977391,0.040283478,4.889651633,6.159732481,11,0.002059255,BR,5,1
128,Hybrid,Algae,F,BRSD45,BRSD45,BRxSD,0.157,0.06,0.49113,0.187692994,0.04495,0.017178344,0.10565,0.040375796,0.05755414,3.261155392,4.648651236,14,0.002104843,BR,5,1
135,Hybrid,Algae,M,BUFSD19,BUFSD19,BUFxSD,0.128,0.06,0.1653,0.077484375,0.05871,0.027520313,0.06363,0.029826563,0.057346876,1.351152502,2.597831168,15,0.0006612,BUF,2,1
136,Hybrid,Algae,M,BUFSD19,BUFSD19,BUFxSD,0.124,0.06,0.1712,0.08283871,0.06911,0.033440323,0.06366,0.030803226,0.064243549,1.28944791,2.68928683,15,0.0006848,BUF,2,1
137,Hybrid,Algae,F,BUFSD19,BUFSD19,BUFxSD,0.198,0.06,0.51169,0.155057576,0.02745,0.008318182,0.15629,0.047360606,0.055678788,2.784859038,3.273977871,19,0.001615863,BUF,2,1
138,Parental,MinimalCarot,M,BUF-7,BUF,BUFxBUF,0.098,0.06,0.19623,0.120140816,0,0,0,0,0,,,12,0.00098115,BUF,1,1
